Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
j.rndn.6x5.train.392,j,rndn,train,392,6,5,30,446
j.rndn.6x5.train.393,j,rndn,train,393,6,5,30,449
j.rndn.6x5.train.394,j,rndn,train,394,6,5,30,452
j.rndn.6x5.train.395,j,rndn,train,395,6,5,30,451
j.rndn.6x5.train.396,j,rndn,train,396,6,5,30,493
j.rndn.6x5.train.397,j,rndn,train,397,6,5,30,510
j.rndn.6x5.train.398,j,rndn,train,398,6,5,30,465
j.rndn.6x5.train.399,j,rndn,train,399,6,5,30,455
j.rndn.6x5.train.400,j,rndn,train,400,6,5,30,460
j.rndn.6x5.train.401,j,rndn,train,401,6,5,30,441
j.rndn.6x5.train.402,j,rndn,train,402,6,5,30,421
j.rndn.6x5.train.403,j,rndn,train,403,6,5,30,457
j.rndn.6x5.train.404,j,rndn,train,404,6,5,30,447
j.rndn.6x5.train.405,j,rndn,train,405,6,5,30,507
j.rndn.6x5.train.406,j,rndn,train,406,6,5,30,452
j.rndn.6x5.train.407,j,rndn,train,407,6,5,30,401
j.rndn.6x5.train.408,j,rndn,train,408,6,5,30,466
j.rndn.6x5.train.409,j,rndn,train,409,6,5,30,407
j.rndn.6x5.train.410,j,rndn,train,410,6,5,30,452
j.rndn.6x5.train.411,j,rndn,train,411,6,5,30,454
j.rndn.6x5.train.412,j,rndn,train,412,6,5,30,408
j.rndn.6x5.train.413,j,rndn,train,413,6,5,30,400
j.rndn.6x5.train.414,j,rndn,train,414,6,5,30,406
j.rndn.6x5.train.415,j,rndn,train,415,6,5,30,499
j.rndn.6x5.train.416,j,rndn,train,416,6,5,30,452
j.rndn.6x5.train.417,j,rndn,train,417,6,5,30,463
j.rndn.6x5.train.418,j,rndn,train,418,6,5,30,419
j.rndn.6x5.train.419,j,rndn,train,419,6,5,30,457
j.rndn.6x5.train.420,j,rndn,train,420,6,5,30,412
j.rndn.6x5.train.421,j,rndn,train,421,6,5,30,394
j.rndn.6x5.train.422,j,rndn,train,422,6,5,30,449
j.rndn.6x5.train.423,j,rndn,train,423,6,5,30,356
j.rndn.6x5.train.424,j,rndn,train,424,6,5,30,461
j.rndn.6x5.train.425,j,rndn,train,425,6,5,30,463
j.rndn.6x5.train.426,j,rndn,train,426,6,5,30,467
j.rndn.6x5.train.427,j,rndn,train,427,6,5,30,398
j.rndn.6x5.train.428,j,rndn,train,428,6,5,30,454
j.rndn.6x5.train.429,j,rndn,train,429,6,5,30,446
